company_name,finance_mapping
Northrop Grumman,Northrop Grumman Corporation
Comcast,Comcast Corporation
Gulfstream Aerospace,General Dynamics Corporation
AT&T,AT&T Inc.
Microsoft,Microsoft Corporation
General Dynamics Ordnance and Tactical Systems,General Dynamics Corporation
Amazon,"Amazon.com, Inc."
Amazon Web Services (AWS),"Amazon.com, Inc."
Amazon Lab126,"Amazon.com, Inc."
Amazon Games,"Amazon.com, Inc."
Ring,"Amazon.com, Inc."
Palo Alto Networks,"Palo Alto Networks, Inc."
Tesla,"Tesla, Inc."
General Dynamics Information Technology,General Dynamics Corporation
ServiceNow,"ServiceNow, Inc."
Adobe,Adobe Inc.
Google,Alphabet Inc.
Palantir Technologies,Palantir Technologies Inc.
Applied Materials,"Applied Materials, Inc."
Spectrum,"Charter Communications, Inc."
Spectrum Enterprise,"Charter Communications, Inc."
Spectrum Community Solutions,"Charter Communications, Inc."
General Atomics,General Dynamics Corporation
Oracle,Oracle Corporation
Collins Aerospace,RTX Corporation
Pratt & Whitney,RTX Corporation
"Silfex, Inc. - A Division of Lam Research Corporation",Lam Research Corporation
Snowflake,Snowflake Inc.
Whole Foods Market,"Amazon.com, Inc."
NBCUniversal,Comcast Corporation
Netflix,"Netflix, Inc."
Spectrum Staffing Services/HRStaffers Inc.,"Charter Communications, Inc."
Boeing,The Boeing Company
Salesforce,"Salesforce, Inc."
"Spectrum Plastics Group, A DuPont Business","Charter Communications, Inc."
Victra - Verizon Authorized Retailer,Verizon Communications Inc.
The Walt Disney Company,The Walt Disney Company
Micron Technology,"Micron Technology, Inc."
General Dynamics Mission Systems,General Dynamics Corporation
NVIDIA,NVIDIA Corporation
Accenture,Accenture plc
Qualcomm,QUALCOMM Incorporated
Spectrum Reach,"Charter Communications, Inc."
"Millennium Space Systems, A Boeing Company",The Boeing Company
RTX,RTX Corporation
Spectrum News,"Charter Communications, Inc."
Yahoo,Verizon Communications Inc.
Google Fiber,Alphabet Inc.
Razorfish,Microsoft Corporation
SpectrumCareers,"Charter Communications, Inc."
Spectrum Recruiting Solutions,"Charter Communications, Inc."
Textron,Textron Inc.
Atlassian,Atlassian Corporation
"Spectrum Investment Advisors, Inc.","Charter Communications, Inc."
"Spectrum Retirement Communities, LLC.","Charter Communications, Inc."
Spectrum Control,"Charter Communications, Inc."
NBCUniversal Telemundo Enterprises,Comcast Corporation
General Dynamics Electric Boat,General Dynamics Corporation
General Atomics Aeronautical Systems,General Dynamics Corporation
Calico Life Sciences,Alphabet Inc.
Lam Research,Lam Research Corporation
Jet Aviation,General Dynamics Corporation
Amazon Business,"Amazon.com, Inc."
"Spectrum Solutions, Inc.","Charter Communications, Inc."
Adobe Population Health,Adobe Inc.
"Calico Brands, Inc.",Alphabet Inc.
L3Harris Technologies,"L3Harris Technologies, Inc."
Waymo,Alphabet Inc.
Palo Alto Networks Unit 42,"Palo Alto Networks, Inc."
Audible,"Amazon.com, Inc."
Spectrum Search Group,"Charter Communications, Inc."
Google DeepMind,Alphabet Inc.
Textron Aviation,Textron Inc.
Accenture Federal Services,Accenture plc
Cisco Meraki,"Cisco Systems, Inc."
Textron Systems,Textron Inc.
Prime Video & Amazon Studios,"Amazon.com, Inc."
Spectrum Staffing Group,"Charter Communications, Inc."
Intuit,Intuit Inc.
Textron Specialized Vehicles,Textron Inc.
RTX Fintech & Research,RTX Corporation
Marvell Technology,"Marvell Technology, Inc."
General Dynamics NASSCO,General Dynamics Corporation
Instagram,"Meta Platforms, Inc."
General Dynamics Land Systems,General Dynamics Corporation
Verizon,Verizon Communications Inc.
